Year,Violent_sum,Property_sum,City
2010,185,2075,Alhambra
2010,88,1737,Arcadia
2010,64,265,Artesia
2010,24,75,Avalon
2010,226,1136,Azusa
2010,253,1752,Baldwin Park
2010,241,601,Bell
2010,415,1776,Bellflower
2010,210,940,Bell Gardens
2010,7,81,La Habra Heights
2010,6,143,Westlake Village
2010,75,985,Beverly Hills
2010,0,11,Bradbury
2010,221,2687,Burbank
2010,49,877,Claremont
2010,142,1000,Commerce
2010,1327,2784,Compton
2010,171,1643,Covina
2010,161,475,Cudahy
2010,149,1638,Culver City
2010,93,1696,Cerritos
2010,18,240,Agoura Hills
2010,389,1545,West Hollywood
2010,375,2670,Santa Clarita
2010,48,808,Diamond Bar
2010,394,3956,Downey
2010,72,440,Duarte
2010,600,2598,El Monte
2010,34,541,El Segundo
2010,347,1446,Gardena
2010,277,3717,Glendale
2010,62,1249,Glendora
2010,83,237,Hawaiian Gardens
2010,653,2200,Hawthorne
2010,40,553,Hermosa Beach
2010,13,321,Calabasas
2010,26,350,Malibu
2010,3,18,Hidden Hills
2010,559,2095,Huntington Park
2010,77,1183,Industry
2010,843,2672,Inglewood
2010,19,136,Irwindale
2010,296,1876,Lakewood
2010,74,726,La Mirada
2010,162,581,La Puente
2010,56,643,La Verne
2010,228,513,Lawndale
2010,86,330,Lomita
2010,2720,11642,Long Beach
2010,21484,89704,Los Angeles
2010,615,1328,Lynwood
2010,48,839,Manhattan Beach
2010,151,483,Maywood
2010,72,1080,Monrovia
2010,214,1941,Montebello
2010,96,860,Monterey Park
2010,449,2072,Norwalk
2010,832,3334,Palmdale
2010,5,116,Palos Verdes Estates
2010,343,1554,Paramount
2010,554,4074,Pasadena
2010,247,1553,Pico Rivera
2010,877,4504,Pomona
2010,210,1557,Redondo Beach
2010,4,8,Rolling Hills
2010,15,137,Rolling Hills Estates
2010,167,1118,Rosemead
2010,80,663,San Dimas
2010,63,379,San Fernando
2010,85,566,San Gabriel
2010,13,224,San Marino
2010,73,1206,Santa Fe Springs
2010,392,3120,Santa Monica
2010,14,186,Sierra Madre
2010,40,428,Signal Hill
2010,134,477,South El Monte
2010,598,2603,South Gate
2010,25,423,South Pasadena
2010,61,430,Temple City
2010,290,2859,Torrance
2010,26,316,Vernon
2010,29,447,Walnut
2010,318,2979,West Covina
2010,343,2433,Whittier
2010,499,2326,Carson
2010,42,422,Rancho Palos Verdes
2010,21,346,La Canada-Flintridge
2010,900,3411,Lancaster
2011,152,1891,Alhambra
2011,68,1699,Arcadia
2011,66,327,Artesia
2011,18,51,Avalon
2011,239,1048,Azusa
2011,242,1601,Baldwin Park
2011,291,801,Bell
2011,286,1832,Bellflower
2011,170,794,Bell Gardens
2011,7,71,La Habra Heights
2011,4,181,Westlake Village
2011,58,974,Beverly Hills
2011,0,12,Bradbury
2011,191,2555,Burbank
2011,32,850,Claremont
2011,116,949,Commerce
2011,1067,2865,Compton
2011,142,1719,Covina
2011,167,371,Cudahy
2011,146,1669,Culver City
2011,84,1761,Cerritos
2011,15,255,Agoura Hills
2011,337,1437,West Hollywood
2011,262,2568,Santa Clarita
2011,58,778,Diamond Bar
2011,390,3876,Downey
2011,60,427,Duarte
2011,421,2286,El Monte
2011,38,550,El Segundo
2011,281,1453,Gardena
2011,258,3452,Glendale
2011,65,1309,Glendora
2011,67,216,Hawaiian Gardens
2011,623,2124,Hawthorne
2011,62,605,Hermosa Beach
2011,11,291,Calabasas
2011,15,268,Malibu
2011,0,15,Hidden Hills
2011,487,2100,Huntington Park
2011,44,1136,Industry
2011,808,2582,Inglewood
2011,26,194,Irwindale
2011,214,1899,Lakewood
2011,81,807,La Mirada
2011,157,594,La Puente
2011,63,647,La Verne
2011,175,447,Lawndale
2011,87,334,Lomita
2011,2857,12816,Long Beach
2011,20045,86330,Los Angeles
2011,609,1393,Lynwood
2011,44,891,Manhattan Beach
2011,155,358,Maywood
2011,75,904,Monrovia
2011,174,1837,Montebello
2011,102,1039,Monterey Park
2011,371,2274,Norwalk
2011,785,3273,Palmdale
2011,5,118,Palos Verdes Estates
2011,255,1621,Paramount
2011,434,3712,Pasadena
2011,243,1568,Pico Rivera
2011,928,4442,Pomona
2011,168,1601,Redondo Beach
2011,0,14,Rolling Hills
2011,6,162,Rolling Hills Estates
2011,170,1140,Rosemead
2011,78,562,San Dimas
2011,103,430,San Fernando
2011,107,553,San Gabriel
2011,11,192,San Marino
2011,107,1133,Santa Fe Springs
2011,369,2971,Santa Monica
2011,10,137,Sierra Madre
2011,32,471,Signal Hill
2011,122,376,South El Monte
2011,580,2893,South Gate
2011,33,480,South Pasadena
2011,50,344,Temple City
2011,185,2767,Torrance
2011,32,308,Vernon
2011,40,354,Walnut
2011,280,3249,West Covina
2011,334,2468,Whittier
2011,444,2492,Carson
2011,36,550,Rancho Palos Verdes
2011,14,349,La Canada-Flintridge
2011,851,3216,Lancaster
2012,149,1919,Alhambra
2012,57,1388,Arcadia
2012,60,262,Artesia
2012,13,64,Avalon
2012,220,1204,Azusa
2012,261,1585,Baldwin Park
2012,225,662,Bell
2012,304,1802,Bellflower
2012,125,728,Bell Gardens
2012,6,44,La Habra Heights
2012,3,154,Westlake Village
2012,89,1081,Beverly Hills
2012,0,10,Bradbury
2012,243,2493,Burbank
2012,40,901,Claremont
2012,112,1010,Commerce
2012,1218,2399,Compton
2012,151,1651,Covina
2012,151,347,Cudahy
2012,179,1760,Culver City
2012,120,1870,Cerritos
2012,12,236,Agoura Hills
2012,338,1642,West Hollywood
2012,342,2742,Santa Clarita
2012,55,952,Diamond Bar
2012,381,3537,Downey
2012,71,507,Duarte
2012,395,2230,El Monte
2012,38,595,El Segundo
2012,287,1321,Gardena
2012,233,3043,Glendale
2012,59,1293,Glendora
2012,69,193,Hawaiian Gardens
2012,637,2181,Hawthorne
2012,54,678,Hermosa Beach
2012,13,238,Calabasas
2012,15,329,Malibu
2012,0,4,Hidden Hills
2012,373,1917,Huntington Park
2012,68,1110,Industry
2012,780,2673,Inglewood
2012,15,243,Irwindale
2012,227,2062,Lakewood
2012,98,776,La Mirada
2012,121,521,La Puente
2012,50,823,La Verne
2012,167,397,Lawndale
2012,95,391,Lomita
2012,2705,14131,Long Beach
2012,18547,87478,Los Angeles
2012,541,1373,Lynwood
2012,62,855,Manhattan Beach
2012,175,286,Maywood
2012,81,948,Monrovia
2012,146,1775,Montebello
2012,75,1022,Monterey Park
2012,433,2609,Norwalk
2012,812,3393,Palmdale
2012,6,136,Palos Verdes Estates
2012,244,1536,Paramount
2012,433,3379,Pasadena
2012,261,1780,Pico Rivera
2012,1021,5055,Pomona
2012,190,1596,Redondo Beach
2012,0,27,Rolling Hills
2012,9,129,Rolling Hills Estates
2012,143,913,Rosemead
2012,51,668,San Dimas
2012,77,380,San Fernando
2012,88,550,San Gabriel
2012,13,183,San Marino
2012,99,1272,Santa Fe Springs
2012,395,3398,Santa Monica
2012,4,112,Sierra Madre
2012,43,536,Signal Hill
2012,88,399,South El Monte
2012,553,2545,South Gate
2012,27,443,South Pasadena
2012,38,354,Temple City
2012,190,2690,Torrance
2012,27,311,Vernon
2012,37,382,Walnut
2012,281,3224,West Covina
2012,247,2502,Whittier
2012,520,2709,Carson
2012,35,498,Rancho Palos Verdes
