City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Los Angeles,443598,417794,412555,487311,539526,569032,612958,655440,709127,721705,768981
Long Beach,392446,367406,360559,422371,460511,481832,516276,549841,591807,602065,639413
Santa Clarita,387078,361097,344866,399787,450558,471165,497903,527846,562726,566738,597246
Glendale,539168,507771,499262,581092,635879,678545,731557,780031,847227,860375,913777
Lancaster,152561,145804,143409,174286,202131,213939,233481,257659,288135,301506,324275
Palmdale,164723,158992,155646,187200,221500,240177,260545,285259,316312,328997,351799
Pomona,249878,242974,241167,291516,335086,355523,376839,404012,437156,447850,477048
Whittier,353229,336247,332042,382866,421463,443657,473245,503658,539259,542883,579612
Pasadena,578863,548603,545801,631645,683158,714186,755767,802391,867403,871385,913906
Torrance,602558,575725,567352,646974,687401,710418,747872,793819,848529,853981,898185
Compton,210712,208152,213022,245928,272243,298710,326654,357522,395493,411269,449355
Inglewood,288869,273454,272493,319349,353745,381857,423497,483366,544142,564535,616636
El Monte,330522,312508,304414,358116,398091,415773,439350,467791,508418,507705,533101
Downey,378578,358511,351753,401488,439565,460617,493309,524679,564871,573387,611183
West Covina,371247,353467,343403,400156,445856,468943,496404,525318,564297,567400,596702
Norwalk,298034,286542,286168,330779,369364,391619,420903,449602,483340,489477,522085
Burbank,536932,503537,492741,578020,631381,672171,719998,765466,831006,848957,900403
South Gate,258375,251155,253369,295790,328196,348484,378946,406838,440379,452478,487176
Hawthorne,394280,378595,370187,427581,467419,496748,539329,585781,638737,659167,703010
Santa Monica,1035475,992981,1006148,1195409,1312127,1392372,1512183,1612351,1729156,1705908,1747077
Alhambra,451561,429171,420498,483407,526600,545272,570107,611519,669366,677556,713673
Lakewood,411817,382834,370588,430917,465512,484278,519420,551206,588603,589625,630280
Covina,351200,332007,322188,375867,419395,442802,469978,498637,536518,538489,572684
Carson,329399,315462,310058,362250,403059,428141,463289,492980,536750,555027,595351
Bellflower,329313,313612,308701,354099,389418,414450,444791,478080,515836,522306,556714
Baldwin Park,268615,259559,255846,306304,347156,365258,394559,422709,459126,464980,494079
Huntington Park,245477,236290,238932,279107,312745,335068,370204,395372,427762,439084,479299
Redondo Beach,717772,688732,686401,787154,835820,875473,938312,1004452,1083860,1091778,1150492
Lynwood,238071,235392,239891,279308,310097,334965,365461,394603,424373,439030,477300
Arcadia,742736,714298,715340,839603,933646,960685,968272,998117,1050649,1027233,1046868
Pico Rivera,301081,292322,288526,332506,369950,390437,421281,449015,481771,490238,525065
Rosemead,409139,388312,382141,442017,479637,499418,527114,560208,601547,608898,641373
San Gabriel,531235,508641,511615,587664,631419,656616,682572,719315,773963,773195,808679
Montebello,359225,338342,327661,374898,414318,435898,467936,496102,534251,543665,580472
Monterey Park,460428,437051,428231,493534,534053,547150,576285,614335,656706,662210,696776
Azusa,293057,279972,274021,322114,364644,383996,409957,435653,467459,473868,505390
Gardena,342843,320515,314612,362848,402470,428506,466852,509013,555546,572308,610143
Paramount,239486,227936,226940,265521,300843,331528,358735,390372,421944,436328,469266
Glendora,427881,401753,391755,449930,499927,526036,553588,581906,616147,614040,646977
La Mirada,404061,382298,374698,436763,472242,494746,528923,562250,601336,600236,629979
Cerritos,565149,541870,527742,592106,628122,647900,676116,702286,741176,739574,772449
Diamond Bar,496092,470357,464597,549441,608083,622832,641185,671313,704491,691431,715676
Monrovia,492924,464346,454418,525651,580107,599503,625842,661210,713978,718738,750539
Bell Gardens,270209,254520,254874,293865,331756,359771,386513,414228,453288,464078,497260
La Puente,283137,271582,268898,319197,358925,380394,407146,433166,464828,470479,501218
Rancho Palos Verdes,953354,927267,929473,1067963,1132775,1163212,1231947,1284806,1340694,1347745,1395516
Culver City,618186,579289,576563,691979,765739,832520,928900,1015391,1138395,1165787,1227619
Claremont,477111,451349,441396,513343,567517,599903,625917,650005,680053,685014,716429
